Total Nacional	Comunidades y Ciudades Autónomas	Provincias	Islas	Tipo de dato	Periodo	Total
Total Nacional	Andalucía	Córdoba		Porcentaje de población que sale del área	12/7/2020	12,92
Total Nacional	Andalucía	Córdoba		Porcentaje de población que sale del área	8/7/2020	18,46
Total Nacional	Andalucía	Córdoba		Porcentaje de población que sale del área	5/7/2020	13,3
Total Nacional	Andalucía	Córdoba		Porcentaje de población que sale del área	1/7/2020	18,83
Total Nacional	Andalucía	Córdoba		Porcentaje de población que sale del área	28/6/2020	13,36
Total Nacional	Andalucía	Córdoba		Porcentaje de población que sale del área	24/6/2020	18,44
Total Nacional	Andalucía	Córdoba		Porcentaje de población que sale del área	20/6/2020	15,74
Total Nacional	Andalucía	Córdoba		Porcentaje de población que sale del área	19/6/2020	18,22
Total Nacional	Andalucía	Córdoba		Porcentaje de población que sale del área	18/6/2020	18,23
Total Nacional	Andalucía	Córdoba		Porcentaje de población que sale del área	17/6/2020	17,91
Total Nacional	Andalucía	Córdoba		Porcentaje de población que sale del área	16/6/2020	17,79
Total Nacional	Andalucía	Córdoba		Porcentaje de población que sale del área	15/6/2020	17,6
Total Nacional	Andalucía	Córdoba		Porcentaje de población que sale del área	14/6/2020	13,2
Total Nacional	Andalucía	Córdoba		Porcentaje de población que sale del área	13/6/2020	15,76
Total Nacional	Andalucía	Córdoba		Porcentaje de población que sale del área	12/6/2020	16,84
Total Nacional	Andalucía	Córdoba		Porcentaje de población que sale del área	11/6/2020	18,15
Total Nacional	Andalucía	Córdoba		Porcentaje de población que sale del área	10/6/2020	17,97
Total Nacional	Andalucía	Córdoba		Porcentaje de población que sale del área	9/6/2020	16,29
Total Nacional	Andalucía	Córdoba		Porcentaje de población que sale del área	8/6/2020	16,8
Total Nacional	Andalucía	Córdoba		Porcentaje de población que sale del área	7/6/2020	12,05
Total Nacional	Andalucía	Córdoba		Porcentaje de población que sale del área	6/6/2020	14,67
Total Nacional	Andalucía	Córdoba		Porcentaje de población que sale del área	5/6/2020	16,97
Total Nacional	Andalucía	Córdoba		Porcentaje de población que sale del área	4/6/2020	16,85
Total Nacional	Andalucía	Córdoba		Porcentaje de población que sale del área	3/6/2020	16,91
Total Nacional	Andalucía	Córdoba		Porcentaje de población que sale del área	2/6/2020	16,8
Total Nacional	Andalucía	Córdoba		Porcentaje de población que sale del área	1/6/2020	15,95
Total Nacional	Andalucía	Córdoba		Porcentaje de población que sale del área	31/5/2020	11,75
Total Nacional	Andalucía	Córdoba		Porcentaje de población que sale del área	30/5/2020	14,14
Total Nacional	Andalucía	Córdoba		Porcentaje de población que sale del área	29/5/2020	16,36
Total Nacional	Andalucía	Córdoba		Porcentaje de población que sale del área	28/5/2020	16,55
Total Nacional	Andalucía	Córdoba		Porcentaje de población que sale del área	27/5/2020	16,78
Total Nacional	Andalucía	Córdoba		Porcentaje de población que sale del área	26/5/2020	16,19
Total Nacional	Andalucía	Córdoba		Porcentaje de población que sale del área	25/5/2020	15,83
Total Nacional	Andalucía	Córdoba		Porcentaje de población que sale del área	24/5/2020	11,33
Total Nacional	Andalucía	Córdoba		Porcentaje de población que sale del área	23/5/2020	13,16
Total Nacional	Andalucía	Córdoba		Porcentaje de población que sale del área	22/5/2020	15,41
Total Nacional	Andalucía	Córdoba		Porcentaje de población que sale del área	21/5/2020	15,47
Total Nacional	Andalucía	Córdoba		Porcentaje de población que sale del área	20/5/2020	15,32
Total Nacional	Andalucía	Córdoba		Porcentaje de población que sale del área	19/5/2020	15,46
Total Nacional	Andalucía	Córdoba		Porcentaje de población que sale del área	18/5/2020	14,67
Total Nacional	Andalucía	Córdoba		Porcentaje de población que sale del área	17/5/2020	10,12
Total Nacional	Andalucía	Córdoba		Porcentaje de población que sale del área	16/5/2020	11,74
Total Nacional	Andalucía	Córdoba		Porcentaje de población que sale del área	15/5/2020	14,08
Total Nacional	Andalucía	Córdoba		Porcentaje de población que sale del área	14/5/2020	13,93
Total Nacional	Andalucía	Córdoba		Porcentaje de población que sale del área	13/5/2020	14,33
Total Nacional	Andalucía	Córdoba		Porcentaje de población que sale del área	12/5/2020	13,91
Total Nacional	Andalucía	Córdoba		Porcentaje de población que sale del área	11/5/2020	13,45
Total Nacional	Andalucía	Córdoba		Porcentaje de población que sale del área	10/5/2020	7
Total Nacional	Andalucía	Córdoba		Porcentaje de población que sale del área	9/5/2020	8,01
Total Nacional	Andalucía	Córdoba		Porcentaje de población que sale del área	8/5/2020	13,07
Total Nacional	Andalucía	Córdoba		Porcentaje de población que sale del área	7/5/2020	12,95
Total Nacional	Andalucía	Córdoba		Porcentaje de población que sale del área	6/5/2020	13,17
Total Nacional	Andalucía	Córdoba		Porcentaje de población que sale del área	5/5/2020	13,23
Total Nacional	Andalucía	Córdoba		Porcentaje de población que sale del área	4/5/2020	12,51
Total Nacional	Andalucía	Córdoba		Porcentaje de población que sale del área	3/5/2020	7,82
Total Nacional	Andalucía	Córdoba		Porcentaje de población que sale del área	2/5/2020	8,51
Total Nacional	Andalucía	Córdoba		Porcentaje de población que sale del área	1/5/2020	8,04
Total Nacional	Andalucía	Córdoba		Porcentaje de población que sale del área	30/4/2020	11,47
Total Nacional	Andalucía	Córdoba		Porcentaje de población que sale del área	29/4/2020	11,38
Total Nacional	Andalucía	Córdoba		Porcentaje de población que sale del área	28/4/2020	10,77
Total Nacional	Andalucía	Córdoba		Porcentaje de población que sale del área	27/4/2020	9,54
Total Nacional	Andalucía	Córdoba		Porcentaje de población que sale del área	26/4/2020	5,68
Total Nacional	Andalucía	Córdoba		Porcentaje de población que sale del área	25/4/2020	6,95
Total Nacional	Andalucía	Córdoba		Porcentaje de población que sale del área	24/4/2020	10,3
Total Nacional	Andalucía	Córdoba		Porcentaje de población que sale del área	23/4/2020	10,19
Total Nacional	Andalucía	Córdoba		Porcentaje de población que sale del área	22/4/2020	10,27
Total Nacional	Andalucía	Córdoba		Porcentaje de población que sale del área	21/4/2020	9,71
Total Nacional	Andalucía	Córdoba		Porcentaje de población que sale del área	20/4/2020	10,28
Total Nacional	Andalucía	Córdoba		Porcentaje de población que sale del área	19/4/2020	6,02
Total Nacional	Andalucía	Córdoba		Porcentaje de población que sale del área	18/4/2020	7,88
Total Nacional	Andalucía	Córdoba		Porcentaje de población que sale del área	17/4/2020	10,13
Total Nacional	Andalucía	Córdoba		Porcentaje de población que sale del área	16/4/2020	10,64
Total Nacional	Andalucía	Córdoba		Porcentaje de población que sale del área	15/4/2020	9,58
Total Nacional	Andalucía	Córdoba		Porcentaje de población que sale del área	14/4/2020	9,91
Total Nacional	Andalucía	Córdoba		Porcentaje de población que sale del área	13/4/2020	10,6
Total Nacional	Andalucía	Córdoba		Porcentaje de población que sale del área	12/4/2020	6,78
Total Nacional	Andalucía	Córdoba		Porcentaje de población que sale del área	11/4/2020	7,88
Total Nacional	Andalucía	Córdoba		Porcentaje de población que sale del área	10/4/2020	6,57
Total Nacional	Andalucía	Córdoba		Porcentaje de población que sale del área	9/4/2020	7,85
Total Nacional	Andalucía	Córdoba		Porcentaje de población que sale del área	8/4/2020	9,81
Total Nacional	Andalucía	Córdoba		Porcentaje de población que sale del área	7/4/2020	9,72
Total Nacional	Andalucía	Córdoba		Porcentaje de población que sale del área	6/4/2020	9,31
Total Nacional	Andalucía	Córdoba		Porcentaje de población que sale del área	5/4/2020	6,58
Total Nacional	Andalucía	Córdoba		Porcentaje de población que sale del área	4/4/2020	7,5
Total Nacional	Andalucía	Córdoba		Porcentaje de población que sale del área	3/4/2020	9,49
Total Nacional	Andalucía	Córdoba		Porcentaje de población que sale del área	2/4/2020	8,33
Total Nacional	Andalucía	Córdoba		Porcentaje de población que sale del área	1/4/2020	8,42
Total Nacional	Andalucía	Córdoba		Porcentaje de población que sale del área	31/3/2020	8,69
Total Nacional	Andalucía	Córdoba		Porcentaje de población que sale del área	30/3/2020	9,58
Total Nacional	Andalucía	Córdoba		Porcentaje de población que sale del área	28/3/2020	8,26
Total Nacional	Andalucía	Córdoba		Porcentaje de población que sale del área	26/3/2020	10,78
Total Nacional	Andalucía	Córdoba		Porcentaje de población que sale del área	24/3/2020	10,78
Total Nacional	Andalucía	Córdoba		Porcentaje de población que sale del área	22/3/2020	5,7
Total Nacional	Andalucía	Córdoba		Porcentaje de población que sale del área	20/3/2020	10,42
Total Nacional	Andalucía	Córdoba		Porcentaje de población que sale del área	18/3/2020	10,94
Total Nacional	Andalucía	Córdoba		Porcentaje de población que sale del área	16/3/2020	11,87
Total Nacional	Andalucía	Córdoba		Porcentaje de población que sale del área	18/11/2019	22,38
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	29/12/2021	17,65
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	26/12/2021	11,44
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	22/12/2021	18,37
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	19/12/2021	14,47
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	15/12/2021	20,45
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	12/12/2021	14,32
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	8/12/2021	13,75
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	1/12/2021	20,11
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	28/11/2021	13,91
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	24/11/2021	19,64
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	21/11/2021	13,1
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	17/11/2021	19,68
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	14/11/2021	14,5
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	10/11/2021	19,62
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	7/11/2021	14,08
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	3/11/2021	11,49
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	31/10/2021	14,69
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	27/10/2021	19,47
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	24/10/2021	14,57
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	20/10/2021	19,48
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	17/10/2021	14,45
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	13/10/2021	19,01
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	10/10/2021	15,49
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	6/10/2021	19,66
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	3/10/2021	12,15
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	29/9/2021	19,62
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	26/9/2021	14,69
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	22/9/2021	18,59
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	19/9/2021	14,27
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	15/9/2021	18,57
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	12/9/2021	14,56
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	8/9/2021	17,81
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	5/9/2021	14,22
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	1/9/2021	17,72
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	29/8/2021	13,51
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	25/8/2021	16,52
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	22/8/2021	13,16
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	18/8/2021	16,61
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	15/8/2021	13,54
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	11/8/2021	16,94
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	8/8/2021	13,67
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	4/8/2021	16,99
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	1/8/2021	13,8
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	28/7/2021	17,81
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	25/7/2021	13,28
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	21/7/2021	17,65
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	18/7/2021	13,32
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	14/7/2021	18,36
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	11/7/2021	13,73
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	7/7/2021	18,37
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	4/7/2021	13,39
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	30/6/2021	19,03
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	27/6/2021	15,16
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	23/6/2021	12,27
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	20/6/2021	14,36
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	16/6/2021	19,16
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	13/6/2021	14,35
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	9/6/2021	19,7
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	6/6/2021	14,11
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	2/6/2021	19,48
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	30/5/2021	12,09
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	26/5/2021	17,17
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	23/5/2021	8,86
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	19/5/2021	19,77
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	16/5/2021	14,66
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	12/5/2021	17,34
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	9/5/2021	12,92
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	5/5/2021	19,25
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	2/5/2021	8,8
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	28/4/2021	18,62
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	25/4/2021	8,51
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	21/4/2021	18,62
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	18/4/2021	12,5
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	14/4/2021	19,27
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	11/4/2021	12,48
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	7/4/2021	19,57
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	4/4/2021	12,1
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	31/3/2021	18,38
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	28/3/2021	12,05
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	24/3/2021	19,84
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	21/3/2021	12,87
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	17/3/2021	19,96
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	14/3/2021	14,67
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	10/3/2021	19,08
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	7/3/2021	10,91
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	3/3/2021	18,89
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	28/2/2021	12,76
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	24/2/2021	18,53
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	21/2/2021	10,42
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	17/2/2021	17,94
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	14/2/2021	10,61
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	10/2/2021	16,67
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	7/2/2021	8,42
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	3/2/2021	17,41
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	31/1/2021	8,6
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	27/1/2021	17,41
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	24/1/2021	7,83
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	20/1/2021	16,66
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	17/1/2021	11,22
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	13/1/2021	15,19
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	10/1/2021	9,99
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	6/1/2021	10,91
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	3/1/2021	12,15
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	30/12/2020	18,15
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	27/12/2020	14,01
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	23/12/2020	19,12
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	20/12/2020	13,52
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	16/12/2020	19,53
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	13/12/2020	13,37
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	9/12/2020	17,86
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	6/12/2020	9,32
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	2/12/2020	17,49
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	29/11/2020	8,16
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	25/11/2020	16,4
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	22/11/2020	8,16
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	18/11/2020	15,76
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	15/11/2020	7,45
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	11/11/2020	15,98
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	8/11/2020	8,35
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	4/11/2020	16,45
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	1/11/2020	8,44
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	28/10/2020	16,82
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	25/10/2020	12,91
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	21/10/2020	17,66
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	18/10/2020	12,65
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	14/10/2020	18,89
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	11/10/2020	15,27
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	7/10/2020	19,34
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	4/10/2020	13,56
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	30/9/2020	17,29
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	27/9/2020	12,09
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	23/9/2020	19,49
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	20/9/2020	13,84
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	16/9/2020	19,23
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	13/9/2020	13,82
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	9/9/2020	18,94
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	6/9/2020	13,97
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	2/9/2020	17,79
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	30/8/2020	13,33
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	26/8/2020	17,21
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	23/8/2020	11,52
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	19/8/2020	17,24
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	16/8/2020	13,2
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	12/8/2020	17,52
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	9/8/2020	13,42
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	5/8/2020	13,14
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	2/8/2020	9,7
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	29/7/2020	13,91
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	26/7/2020	11,31
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	22/7/2020	18,31
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	19/7/2020	14,7
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	15/7/2020	20,05
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	12/7/2020	14,58
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	8/7/2020	19,76
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	5/7/2020	15,15
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	1/7/2020	20,55
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	28/6/2020	15,53
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	24/6/2020	19,81
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	20/6/2020	17,77
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	19/6/2020	19,07
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	18/6/2020	19,04
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	17/6/2020	18,95
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	16/6/2020	18,73
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	15/6/2020	18,57
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	14/6/2020	15,09
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	13/6/2020	17,12
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	12/6/2020	17,55
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	11/6/2020	19,1
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	10/6/2020	19,22
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	9/6/2020	16,21
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	8/6/2020	16,74
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	7/6/2020	13,02
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	6/6/2020	16,38
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	5/6/2020	17,26
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	4/6/2020	17,6
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	3/6/2020	17,65
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	2/6/2020	17,44
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	1/6/2020	16,27
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	31/5/2020	12,08
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	30/5/2020	14,72
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	29/5/2020	16,63
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	28/5/2020	16,56
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	27/5/2020	16,37
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	26/5/2020	16,19
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	25/5/2020	15,82
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	24/5/2020	11,91
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	23/5/2020	14,07
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	22/5/2020	15,93
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	21/5/2020	15,91
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	20/5/2020	16,04
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	19/5/2020	16,02
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	18/5/2020	14,94
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	17/5/2020	7,05
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	16/5/2020	9,13
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	15/5/2020	12,75
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	14/5/2020	13,09
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	13/5/2020	13,09
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	12/5/2020	12,4
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	11/5/2020	12,39
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	10/5/2020	6,71
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	9/5/2020	7,57
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	8/5/2020	12,74
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	7/5/2020	12,62
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	6/5/2020	12,68
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	5/5/2020	12,79
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	4/5/2020	11,94
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	3/5/2020	7,32
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	2/5/2020	8,25
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	1/5/2020	7,6
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	30/4/2020	11,22
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	29/4/2020	11,08
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	28/4/2020	10,85
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	27/4/2020	10,34
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	26/4/2020	5,71
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	25/4/2020	7,28
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	24/4/2020	10,6
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	23/4/2020	10,55
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	22/4/2020	10,92
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	21/4/2020	10,4
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	20/4/2020	10,06
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	19/4/2020	5,91
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	18/4/2020	7,78
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	17/4/2020	10,27
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	16/4/2020	10,77
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	15/4/2020	9,95
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	14/4/2020	10,47
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	13/4/2020	9,86
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	12/4/2020	6,25
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	11/4/2020	7,7
Total Nacional	Andalucía	Granada		Porcentaje de población que sale del área	10/4/2020	6,5
